order_id,supplier_id,supplier_reliability_score,region,product_category,transport_mode,order_date,expected_delivery_date,actual_delivery_date,delay_days,weather_risk_index,geopolitical_risk_index,port_congestion_index,inventory_level_units,demand_forecast_units,actual_demand_units,order_value_usd,disruption_flag,demand_variance_pct,inventory_coverage_ratio,composite_risk_score,order_month,order_weekday,risk_tier
ORD-100000,SUP-033,0.8,Europe,Electronics,Sea,2024-04-15,2024-05-06,2024-05-06,0,0.463,0.015,0.295,696.1,257.1,264.2,10717.55,0,2.7615713730065985,2.634746404239213,0.243,4,Monday,Low
ORD-100001,SUP-003,0.783,Latin America,Machinery,Sea,2024-02-15,2024-03-08,2024-03-08,0,0.127,0.328,0.608,585.0,430.3,421.0,3904.97,0,-2.1612828259353964,1.3895486935866983,0.275,2,Thursday,Low
ORD-100002,SUP-020,0.762,Asia Pacific,Electronics,Road,2023-12-14,2023-12-19,2023-12-21,2,0.026,0.084,0.024,488.4,490.9,511.3,5199.2,0,4.155632511713187,0.9552122041854096,0.122,12,Thursday,Low
ORD-100003,SUP-033,0.8,Middle East/Africa,Textiles,Sea,2023-06-29,2023-07-21,2023-07-28,7,0.298,0.229,0.371,447.7,522.7,370.3,3409.69,1,-29.156303807155158,1.2090197137456116,0.256,6,Thursday,Low
ORD-100004,SUP-003,0.783,Europe,Electronics,Road,2024-06-24,2024-06-29,2024-06-30,1,0.137,0.067,0.062,523.1,576.9,581.3,2150.38,0,0.7626971745536449,0.8998795802511613,0.144,6,Monday,Low
ORD-100005,SUP-026,0.782,Asia Pacific,Automotive Parts,Sea,2024-08-07,2024-08-28,2024-09-02,5,0.112,0.117,0.224,265.9,690.0,565.8,7026.09,1,-18.000000000000007,0.4699540473665606,0.172,8,Wednesday,Low
ORD-100006,SUP-015,0.574,Asia Pacific,Textiles,Road,2024-06-13,2024-06-19,2024-06-19,0,0.41,0.009,0.009,506.8,371.8,491.4,6407.63,0,32.16783216783215,1.0313390313390314,0.276,6,Thursday,Low
ORD-100007,SUP-030,0.76,Asia Pacific,Electronics,Road,2023-10-05,2023-10-09,2023-10-09,0,0.146,0.449,0.017,428.8,371.6,470.0,13237.52,0,26.480086114101177,0.912340425531915,0.225,10,Thursday,Low
ORD-100008,SUP-022,0.872,Middle East/Africa,Pharma,Road,2023-08-16,2023-08-19,2023-08-19,0,0.232,0.078,0.009,457.9,377.5,346.4,5342.89,0,-8.238410596026496,1.3218822170900693,0.126,8,Wednesday,Low
ORD-100009,SUP-005,0.967,Latin America,Automotive Parts,Road,2023-01-10,2023-01-15,2023-01-16,1,0.533,0.202,0.066,469.6,457.3,501.7,2338.61,0,9.709162475399076,0.9360175403627666,0.197,1,Tuesday,Low
