order_id,supplier_id,supplier_reliability_score,region,product_category,transport_mode,order_date,expected_delivery_date,actual_delivery_date,delay_days,weather_risk_index,geopolitical_risk_index,port_congestion_index,inventory_level_units,demand_forecast_units,actual_demand_units,order_value_usd,disruption_flag
ORD-100000,SUP-033,0.8,Europe,Electronics,Sea,2024-04-15,2024-05-06,2024-05-06,0,0.463,0.015,0.295,696.1,257.1,264.2,10717.55,0
ORD-100001,SUP-003,0.783,Latin America,Machinery,Sea,2024-02-15,2024-03-08,2024-03-08,0,0.127,0.328,0.608,585.0,430.3,421.0,3904.97,0
ORD-100002,SUP-020,0.762,Asia Pacific,Electronics,Road,2023-12-14,2023-12-19,2023-12-21,2,0.026,0.084,0.024,488.4,490.9,511.3,5199.2,0
ORD-100003,SUP-033,0.8,Middle East/Africa,Textiles,Sea,2023-06-29,2023-07-21,2023-07-28,7,0.298,0.229,0.371,447.7,522.7,370.3,3409.69,1
ORD-100004,SUP-003,0.783,Europe,Electronics,Road,2024-06-24,2024-06-29,2024-06-30,1,0.137,0.067,0.062,523.1,576.9,581.3,2150.38,0
ORD-100005,SUP-026,0.782,Asia Pacific,Automotive Parts,Sea,2024-08-07,2024-08-28,2024-09-02,5,0.112,0.117,0.224,265.9,690.0,565.8,7026.09,1
ORD-100006,SUP-015,0.574,Asia Pacific,Textiles,Road,2024-06-13,2024-06-19,2024-06-19,0,0.41,0.009,0.009,506.8,371.8,491.4,6407.63,0
ORD-100007,SUP-030,0.76,Asia Pacific,Electronics,Road,2023-10-05,2023-10-09,2023-10-09,0,0.146,0.449,0.017,428.8,371.6,470.0,13237.52,0
ORD-100008,SUP-022,0.872,Middle East/Africa,Pharma,Road,2023-08-16,2023-08-19,2023-08-19,0,0.232,0.078,0.009,457.9,377.5,346.4,5342.89,0
ORD-100009,SUP-005,0.967,Latin America,Automotive Parts,Road,2023-01-10,2023-01-15,2023-01-16,1,0.533,0.202,0.066,469.6,457.3,501.7,2338.61,0
ORD-100010,SUP-033,0.8,Middle East/Africa,Pharma,Sea,2024-02-05,2024-02-25,2024-02-25,0,0.356,0.107,0.208,426.0,379.3,427.6,6107.11,0
ORD-100011,SUP-021,0.656,Middle East/Africa,Electronics,Rail,2023-09-29,2023-10-08,2023-10-09,1,0.416,0.0,0.078,316.9,515.7,500.0,3847.78,0
ORD-100012,SUP-017,0.619,North America,Machinery,Rail,2023-09-07,2023-09-13,2023-09-13,0,0.352,0.164,0.001,628.1,488.9,479.4,1677.02,0
ORD-100013,SUP-025,0.704,Latin America,Pharma,Road,2024-08-28,2024-09-03,2024-09-09,6,0.211,0.095,0.055,498.7,567.0,554.5,3000.9,1
ORD-100014,SUP-007,0.877,Middle East/Africa,Automotive Parts,Road,2024-07-24,2024-07-28,2024-07-29,1,0.349,0.373,0.095,428.4,363.8,352.1,4099.44,0
ORD-100015,SUP-028,0.644,Europe,Textiles,Road,2023-03-17,2023-03-20,2023-03-20,0,0.299,0.326,0.024,670.0,384.1,242.4,1574.91,0
ORD-100016,SUP-016,0.842,Middle East/Africa,Pharma,Air,2023-06-11,2023-06-15,2023-06-16,1,0.42,0.204,0.063,574.7,398.2,509.3,18285.83,0
ORD-100017,SUP-008,0.711,Europe,Textiles,Rail,2023-09-06,2023-09-15,2023-09-29,14,0.138,0.086,0.097,522.6,220.5,232.5,7670.81,1
